ID,Domain,Knowledge Area,Knowledge Unit,Topic,Difficulty,Prerequisites
COAI,Core AI,,,,,
,COAI-01,Artificial Intelligence Foundations,,,,
,,COAI-01-KU01,Introduction to Artificial Intelligence,,,
,,,COAI-01-KU01-T001,[What is Artificial Intelligence?](https://github.com/sayyedkamran/socc/blob/main/artificial-intelligence/ai-bok/coai/coai-01-artificial-intelligence-foundations/coai-01-ku01-introduction/coai-01-ku01-t001-what-is-artificial-intelligence.md),Low,Nil
,,,COAI-01-KU01-T002,Why Artificial Intelligence?,,
,,,COAI-01-KU01-T003,Characteristics of AI Systems,,
,,,COAI-01-KU01-T004,Intelligence in Machines,,
,,,COAI-01-KU01-T005,AI vs. Related Fields,,
,,,COAI-01-KU01-T006,Common Misconceptions about AI,,
,,,COAI-01-KU01-T007,Scope of Artificial Intelligence,,
,,COAI-01-KU02,History & Evolution of AI,,,
,,COAI-01-KU03,The AI Landscape & Research Areas,,,
,,COAI-01-KU04,Types of Artificial Intelligence,,,
,,COAI-01-KU05,Intelligent Agents & Rationality,,,
,,COAI-01-KU06,Learning Paradigms (Orientation Only),,,
,,COAI-01-KU07,AI Applications & Industry,,,
,,COAI-01-KU08,"AI Risks, Safety, Ethics & Governance",,,
,,COAI-01-KU09,Philosophy of Artificial Intelligence,,,
,COAI-02,Knowledge Representation & Reasoning,,,,
,COAI-03,Search & Planning,,,,
,COAI-04,Machine Learning,,,,
,COAI-05,Deep Learning,,,,
,COAI-06,Reinforcement Learning,,,,
,COAI-07,Natural Language Processing,,,,
,COAI-08,Computer Vision,,,,
,COAI-09,Speech & Audio Processing,,,,
,COAI-10,Generative AI & Foundation Models,,,,
,COAI-11,Multi-Agent Systems,,,,
,COAI-12,Robotics & Autonomous Systems,,,,
,COAI-13,Evolutionary Computation & Swarm Intelligence,,,,
,COAI-14,"AI Safety, Alignment & Ethics",,,,
COMP,Computing,,,,,
,COMP-01,Programming Fundamentals,,,,
,COMP-02,Data Structures & Algorithms,,,,
,COMP-03,Software Engineering,,,,
,COMP-04,Computer Systems,,,,
,COMP-05,Databases & Data Management,,,,
,COMP-06,Data Engineering,,,,
,COMP-07,Distributed Systems,,,,
,COMP-08,Parallel & High-Performance Computing,,,,
,COMP-09,GPU Computing,,,,
,COMP-10,Cloud Computing & Virtualization,,,,
,COMP-11,"DevOps, MLOps & LLMOps",,,,
MAST,Mathematics & Statistics,,,,,
,MAST-01,Foundations of Mathematics,,,,
,MAST-02,Linear Algebra,,,,
,MAST-03,Calculus,,,,
,MAST-04,Probability Theory,,,,
,MAST-05,Statistics,,,,
,MAST-06,Optimization,,,,
,MAST-07,Information Theory,,,,
SSCI,Supporting Sciences,,,,,
,SSCI-01,Cognitive Science,,,,
,SSCI-02,Neuroscience,,,,
,SSCI-03,Linguistics,,,,
,SSCI-04,Decision Theory,,,,
,SSCI-05,Control Theory,,,,
,SSCI-06,Economics & Game Theory,,,,
,SSCI-07,Complex Systems,,,,
